"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V87880 87880 Sociale institutioner",7399,6792,7085,6912,7304,7770,8356,7046,6978,6789,6961,6691,6848,7179,7137
" ","V870000 870000 Plejehjem mv.",4355,3998,4170,4069,4299,4573,4919,4148,4107,3996,4097,3939,4031,4226,4201
" ","V880000 880000 Daginstitutioner og dagcentre mv.",3044,2794,2914,2843,3005,3196,3437,2899,2871,2793,2863,2753,2817,2953,2936
" ","VR_S R_S Kultur, fritid og anden service",8099,8570,9038,8503,8289,8702,9283,8269,9439,11229,12081,11330,11578,12449,14612
" ","VR R Kultur og fritid",6150,6637,6957,6770,6519,6811,7507,6618,7830,7342,7513,8392,8745,8230,8131
" ","V90920 90920 Kunst, kultur og spil",2251,1435,1164,932,797,909,1101,1423,1077,958,913,689,757,1001,993
" ","V900000 900000 Teater, musik og kunst",1683,858,504,234,95,137,207,454,288,265,217,170,106,278,277
" ","V910001 910001 Biblioteker, museer mv., markedsmæssig",109,110,125,123,129,143,167,186,158,151,106,82,110,126,126
" ","V910002 910002 Biblioteker, museer mv., ikke-markedsmæssig",455,462,531,572,571,626,722,779,628,538,587,434,536,593,586
" ","V920000 920000 Lotteri og andet spil",4,5,4,3,3,4,6,4,4,3,3,2,6,4,4
" ","V93000 93000 Sport, forlystelsesparker og andre fritidsaktiviteter",3899,5202,5792,5839,5722,5901,6406,5196,6753,6385,6600,7704,7988,7229,7138
" ","V930011 930011 Sport, markedsmæssig",1808,3242,3707,3767,3581,3595,4099,3219,4571,4321,4707,5937,6097,5048,4900
" ","V930012 930012 Sport, ikke-markedsmæssig",764,725,705,803,789,832,816,669,681,731,557,437,520,672,679
" ","V930020 930020 Forlystelsesparker og andre fritidsaktiviteter",1328,1236,1380,1268,1352,1474,1491,1307,1500,1333,1336,1330,1371,1509,1559
" ","VSA SA Andre serviceydelser",1948,1932,2082,1733,1770,1891,1776,1650,1609,3886,4567,2937,2833,4219,6482
" ","V94000 94000 Organisationer og foreninger",559,518,644,495,492,597,411,440,513,2825,3478,2092,1884,3114,5390
" ","V940000 940000 Organisationer og foreninger",559,518,644,495,492,597,411,440,513,2825,3478,2092,1884,3114,5390
" ","V95000 95000 Reparation af husholdningsudstyr",14,15,12,13,13,15,10,9,6,9,8,8,15,5,5
" ","V950000 950000 Reparation af husholdningsudstyr",14,15,12,13,13,15,10,9,6,9,8,8,15,5,5
